date,time_of_day,day_of_week,borough,location,temperature,humidity,weather,vehicle_type,avg_speed_kmph,vehicle_count,accidents_reported,road_condition_score,holiday_flag,congestion_level
2023-01-01 00:00:00,Night,Thursday,Brooklyn,Industrial,33.0,93,Rainy,Bus,42.1,4069,2,9,0,HIGH
2023-01-01 01:00:00,Afternoon,Friday,Brooklyn,Suburb,40.7,84,Stormy,Bicycle,29.0,2972,2,3,0,MEDIUM
2023-01-01 02:00:00,Night,Friday,Staten Island,Airport,23.9,81,Clear,Truck,62.1,3367,4,1,1,HIGH
2023-01-01 03:00:00,Night,Tuesday,Bronx,Airport,31.9,72,Stormy,Bicycle,37.3,4430,4,1,0,MEDIUM
2023-01-01 04:00:00,Night,Wednesday,Bronx,Market,15.0,57,Clear,Bicycle,20.0,1543,1,6,0,MEDIUM
2023-01-01 05:00:00,Night,Sunday,Manhattan,Industrial,17.8,38,Rainy,Motorbike,50.8,1359,3,5,1,MEDIUM
2023-01-01 06:00:00,Morning,Monday,Brooklyn,Uptown,30.0,25,Clear,Bicycle,40.2,2629,2,3,0,MEDIUM
2023-01-01 07:00:00,Afternoon,Saturday,Manhattan,Uptown,28.4,59,Foggy,Bicycle,58.5,3251,3,7,0,HIGH
2023-01-01 08:00:00,Morning,Saturday,Queens,Market,37.5,57,Rainy,Car,55.9,4142,4,9,0,HIGH
2023-01-01 09:00:00,Evening,Tuesday,Queens,Suburb,19.8,42,Stormy,Car,47.2,3248,3,9,0,HIGH
2023-01-01 10:00:00,Morning,Friday,Brooklyn,Airport,27.1,35,Clear,Bicycle,45.6,3195,2,9,0,HIGH
2023-01-01 11:00:00,Evening,Tuesday,Queens,Airport,28.2,31,Rainy,Car,13.2,3480,3,9,1,HIGH
2023-01-01 12:00:00,Evening,Friday,Bronx,Industrial,34.4,83,Rainy,Car,40.1,4906,2,7,0,HIGH
2023-01-01 13:00:00,Evening,Friday,Queens,Airport,25.7,38,Stormy,Bus,43.4,2281,1,4,0,MEDIUM
2023-01-01 14:00:00,Night,Wednesday,Queens,Airport,20.1,89,Windy,Car,30.7,4293,4,4,0,MEDIUM
2023-01-01 15:00:00,Afternoon,Thursday,Queens,Market,27.5,59,Stormy,Bus,48.5,3921,4,6,1,HIGH
2023-01-01 16:00:00,Night,Monday,Manhattan,Airport,28.1,26,Cloudy,Truck,36.5,587,1,9,0,MEDIUM
2023-01-01 17:00:00,Evening,Sunday,Brooklyn,Highway,40.8,26,Stormy,Motorbike,27.2,3613,4,4,1,MEDIUM
2023-01-01 18:00:00,Afternoon,Sunday,Staten Island,Industrial,41.7,75,Cloudy,Bus,50.5,827,1,5,0,LOW
2023-01-01 19:00:00,Evening,Wednesday,Manhattan,Airport,40.0,48,Foggy,Bus,18.7,3393,0,1,0,HIGH
2023-01-01 20:00:00,Afternoon,Thursday,Bronx,Airport,35.5,61,Clear,Bicycle,32.4,3769,1,7,0,MEDIUM
2023-01-01 21:00:00,Evening,Wednesday,Staten Island,Market,15.6,64,Clear,Motorbike,64.5,2408,0,6,1,MEDIUM
2023-01-01 22:00:00,Evening,Monday,Staten Island,Airport,17.8,57,Rainy,Truck,35.4,4064,1,9,1,MEDIUM
2023-01-01 23:00:00,Evening,Monday,Brooklyn,Airport,37.7,32,Windy,Car,74.1,389,1,7,0,LOW
2023-01-02 00:00:00,Morning,Saturday,Queens,Downtown,15.4,37,Cloudy,Bus,23.7,132,1,6,0,MEDIUM
2023-01-02 01:00:00,Night,Sunday,Staten Island,Market,40.1,62,Stormy,Bicycle,49.9,909,2,4,0,LOW
2023-01-02 02:00:00,Morning,Thursday,Bronx,Industrial,28.8,37,Windy,Car,34.6,1215,1,8,0,MEDIUM
2023-01-02 03:00:00,Afternoon,Friday,Queens,Downtown,21.6,51,Cloudy,Car,47.8,3755,0,7,0,HIGH
2023-01-02 04:00:00,Morning,Thursday,Bronx,Airport,20.3,53,Stormy,Bicycle,46.3,1653,3,3,0,MEDIUM
2023-01-02 05:00:00,Night,Sunday,Staten Island,Market,40.8,85,Clear,Motorbike,26.6,3745,2,9,0,MEDIUM
2023-01-02 06:00:00,Morning,Monday,Brooklyn,Highway,20.8,85,Rainy,Car,45.8,2916,2,6,0,MEDIUM
2023-01-02 07:00:00,Evening,Thursday,Bronx,Highway,16.4,42,Stormy,Bus,43.1,4765,3,7,0,HIGH
2023-01-02 08:00:00,Evening,Monday,Bronx,Market,36.5,61,Stormy,Truck,12.2,1901,1,9,0,MEDIUM
2023-01-02 09:00:00,Night,Friday,Manhattan,Market,20.2,34,Foggy,Bus,71.8,1431,0,3,0,MEDIUM
2023-01-02 10:00:00,Afternoon,Saturday,Bronx,Suburb,16.7,78,Clear,Bicycle,23.9,3652,3,8,0,MEDIUM
2023-01-02 11:00:00,Afternoon,Sunday,Brooklyn,Uptown,39.0,68,Cloudy,Bus,48.8,1963,3,3,0,MEDIUM
2023-01-02 12:00:00,Afternoon,Wednesday,Staten Island,Market,32.9,41,Cloudy,Car,73.8,3810,2,3,0,HIGH
2023-01-02 13:00:00,Night,Wednesday,Bronx,Market,40.3,37,Foggy,Truck,28.2,2940,4,9,0,MEDIUM
2023-01-02 14:00:00,Afternoon,Thursday,Queens,Industrial,27.0,89,Stormy,Motorbike,43.3,2052,1,6,1,MEDIUM
2023-01-02 15:00:00,Morning,Thursday,Queens,Industrial,41.3,55,Stormy,Bus,32.9,3121,4,2,0,MEDIUM
2023-01-02 16:00:00,Evening,Friday,Brooklyn,Downtown,39.1,34,Cloudy,Car,31.6,1848,1,2,0,MEDIUM
2023-01-02 17:00:00,Night,Wednesday,Bronx,Downtown,41.7,45,Foggy,Car,71.9,520,0,7,0,LOW
2023-01-02 18:00:00,Afternoon,Thursday,Bronx,Downtown,23.4,81,Rainy,Truck,73.5,232,1,6,0,LOW
2023-01-02 19:00:00,Night,Sunday,Queens,Airport,33.9,54,Clear,Bus,25.3,602,4,5,0,MEDIUM
2023-01-02 20:00:00,Evening,Sunday,Manhattan,Airport,22.0,67,Cloudy,Bicycle,30.0,3152,3,8,0,MEDIUM
2023-01-02 21:00:00,Night,Wednesday,Bronx,Market,30.7,40,Rainy,Motorbike,13.5,3379,0,8,1,HIGH
2023-01-02 22:00:00,Evening,Sunday,Bronx,Uptown,25.8,46,Clear,Car,57.7,4343,0,4,0,HIGH
2023-01-02 23:00:00,Morning,Friday,Staten Island,Airport,35.3,76,Foggy,Truck,78.2,663,1,1,0,LOW
2023-01-03 00:00:00,Night,Thursday,Staten Island,Industrial,32.3,59,Clear,Car,74.4,4520,2,2,1,HIGH
2023-01-03 01:00:00,Evening,Tuesday,Manhattan,Downtown,18.7,69,Cloudy,Bicycle,79.8,2456,0,9,1,MEDIUM
2023-01-03 02:00:00,Afternoon,Friday,Brooklyn,Highway,26.9,53,Clear,Bus,65.4,1794,2,2,0,MEDIUM
2023-01-03 03:00:00,Morning,Friday,Staten Island,Airport,32.0,78,Stormy,Motorbike,13.6,1768,2,6,0,MEDIUM
2023-01-03 04:00:00,Morning,Thursday,Bronx,Uptown,35.0,93,Cloudy,Car,36.8,3858,1,6,0,MEDIUM
2023-01-03 05:00:00,Night,Friday,Manhattan,Highway,32.2,76,Rainy,Bicycle,26.1,1287,0,8,0,MEDIUM
2023-01-03 06:00:00,Night,Wednesday,Queens,Highway,37.3,57,Clear,Bicycle,49.9,2422,1,6,0,MEDIUM
2023-01-03 07:00:00,Afternoon,Sunday,Manhattan,Uptown,40.5,78,Windy,Motorbike,55.1,3065,0,5,0,HIGH
2023-01-03 08:00:00,Morning,Sunday,Bronx,Highway,26.1,26,Rainy,Car,37.2,4388,2,4,1,MEDIUM
2023-01-03 09:00:00,Evening,Monday,Queens,Uptown,21.6,89,Foggy,Car,59.7,282,2,4,0,LOW
2023-01-03 10:00:00,Afternoon,Saturday,Bronx,Market,28.5,60,Rainy,Car,57.7,1064,2,4,1,MEDIUM
2023-01-03 11:00:00,Evening,Monday,Queens,Airport,24.8,91,Stormy,Car,70.4,1200,0,8,0,MEDIUM
2023-01-03 12:00:00,Evening,Saturday,Queens,Market,25.0,69,Foggy,Truck,78.1,747,0,4,0,LOW
2023-01-03 13:00:00,Night,Friday,Manhattan,Downtown,41.7,71,Foggy,Car,49.4,3385,0,7,1,HIGH
2023-01-03 14:00:00,Night,Friday,Manhattan,Uptown,20.7,57,Windy,Bus,67.4,2666,1,7,0,MEDIUM
2023-01-03 15:00:00,Afternoon,Wednesday,Bronx,Downtown,19.5,34,Windy,Car,41.0,4615,4,5,0,HIGH
2023-01-03 16:00:00,Morning,Tuesday,Manhattan,Airport,28.5,42,Clear,Bicycle,67.5,1844,2,8,0,MEDIUM
2023-01-03 17:00:00,Afternoon,Friday,Staten Island,Industrial,36.0,66,Cloudy,Motorbike,58.8,3173,0,6,0,HIGH
2023-01-03 18:00:00,Evening,Wednesday,Staten Island,Downtown,26.3,80,Foggy,Bus,75.4,2036,2,9,0,MEDIUM
2023-01-03 19:00:00,Night,Thursday,Staten Island,Highway,16.3,62,Clear,Bus,71.1,2762,1,1,0,MEDIUM
2023-01-03 20:00:00,Night,Sunday,Queens,Airport,19.9,67,Foggy,Car,25.6,2094,4,1,0,MEDIUM
2023-01-03 21:00:00,Afternoon,Saturday,Queens,Highway,34.4,62,Cloudy,Truck,47.6,896,0,1,0,LOW
2023-01-03 22:00:00,Evening,Friday,Manhattan,Highway,15.8,93,Rainy,Bus,39.7,459,0,4,0,MEDIUM
2023-01-03 23:00:00,Evening,Friday,Bronx,Highway,21.4,53,Windy,Car,42.3,336,3,5,1,LOW
2023-01-04 00:00:00,Evening,Thursday,Queens,Downtown,22.8,45,Stormy,Motorbike,34.7,4301,2,3,0,MEDIUM
2023-01-04 01:00:00,Morning,Sunday,Manhattan,Industrial,37.6,94,Cloudy,Car,23.9,4292,0,1,0,MEDIUM
2023-01-04 02:00:00,Morning,Saturday,Manhattan,Downtown,40.4,43,Rainy,Motorbike,63.1,2152,4,4,1,MEDIUM
2023-01-04 03:00:00,Morning,Saturday,Brooklyn,Highway,18.4,77,Rainy,Car,54.6,2052,2,6,0,MEDIUM
2023-01-04 04:00:00,Morning,Thursday,Staten Island,Highway,29.6,52,Foggy,Motorbike,70.2,4655,0,2,0,HIGH
2023-01-04 05:00:00,Night,Tuesday,Queens,Suburb,37.5,53,Rainy,Truck,61.4,4345,3,2,0,HIGH
2023-01-04 06:00:00,Morning,Friday,Staten Island,Downtown,30.3,43,Foggy,Motorbike,58.4,3838,4,6,0,HIGH
2023-01-04 07:00:00,Morning,Tuesday,Bronx,Highway,37.1,50,Cloudy,Car,12.2,1193,4,9,0,MEDIUM
2023-01-04 08:00:00,Evening,Monday,Bronx,Downtown,40.0,72,Stormy,Motorbike,68.7,3909,0,5,0,HIGH
2023-01-04 09:00:00,Morning,Saturday,Queens,Suburb,40.1,25,Windy,Truck,44.5,4783,3,8,0,HIGH
2023-01-04 10:00:00,Night,Wednesday,Queens,Highway,21.1,94,Stormy,Motorbike,58.9,2121,1,4,0,MEDIUM
2023-01-04 11:00:00,Morning,Thursday,Brooklyn,Airport,24.4,68,Stormy,Bicycle,31.8,1822,1,8,0,MEDIUM
2023-01-04 12:00:00,Morning,Tuesday,Manhattan,Highway,20.0,79,Rainy,Car,51.6,582,0,3,0,LOW
2023-01-04 13:00:00,Night,Friday,Bronx,Market,37.0,45,Stormy,Bus,52.1,164,4,1,0,LOW
2023-01-04 14:00:00,Night,Thursday,Manhattan,Airport,23.4,46,Rainy,Truck,67.1,226,2,6,0,LOW
2023-01-04 15:00:00,Evening,Wednesday,Staten Island,Market,37.8,68,Rainy,Car,46.9,222,2,1,1,LOW
2023-01-04 16:00:00,Afternoon,Saturday,Staten Island,Downtown,23.3,44,Foggy,Bicycle,22.0,4711,2,9,0,MEDIUM
2023-01-04 17:00:00,Night,Sunday,Bronx,Airport,38.6,62,Clear,Car,36.6,2476,1,7,0,MEDIUM
2023-01-04 18:00:00,Evening,Sunday,Queens,Airport,23.2,90,Foggy,Bus,46.2,378,3,1,1,LOW
2023-01-04 19:00:00,Morning,Thursday,Staten Island,Suburb,34.3,76,Cloudy,Bicycle,54.5,3098,3,3,0,HIGH
2023-01-04 20:00:00,Evening,Thursday,Brooklyn,Uptown,22.9,69,Cloudy,Truck,21.6,2260,3,2,0,MEDIUM
2023-01-04 21:00:00,Morning,Friday,Staten Island,Airport,39.1,81,Clear,Bus,22.6,2720,0,8,0,MEDIUM
2023-01-04 22:00:00,Evening,Wednesday,Brooklyn,Market,23.0,60,Clear,Truck,34.2,4655,0,5,0,MEDIUM
2023-01-04 23:00:00,Afternoon,Thursday,Manhattan,Highway,34.2,64,Foggy,Truck,15.3,112,3,2,0,HIGH
2023-01-05 00:00:00,Morning,Monday,Staten Island,Downtown,39.5,66,Rainy,Bicycle,65.5,2526,4,2,0,MEDIUM
2023-01-05 01:00:00,Afternoon,Thursday,Staten Island,Suburb,32.0,28,Rainy,Car,47.8,4575,1,4,0,HIGH
2023-01-05 02:00:00,Morning,Tuesday,Brooklyn,Highway,42.0,83,Rainy,Motorbike,35.8,199,4,5,0,MEDIUM
2023-01-05 03:00:00,Afternoon,Saturday,Manhattan,Uptown,29.0,43,Windy,Motorbike,42.2,1361,0,8,0,MEDIUM
2023-01-05 04:00:00,Evening,Saturday,Brooklyn,Industrial,18.9,58,Rainy,Truck,42.8,4827,4,6,0,HIGH
2023-01-05 05:00:00,Morning,Thursday,Bronx,Industrial,24.8,69,Clear,Truck,79.5,4379,2,2,0,HIGH
2023-01-05 06:00:00,Night,Tuesday,Staten Island,Uptown,37.7,35,Windy,Bicycle,63.7,3050,4,2,1,HIGH
2023-01-05 07:00:00,Night,Wednesday,Manhattan,Suburb,18.7,52,Windy,Motorbike,41.5,2626,3,5,0,MEDIUM
2023-01-05 08:00:00,Night,Thursday,Brooklyn,Industrial,15.4,70,Cloudy,Bicycle,44.6,3337,0,8,0,HIGH
2023-01-05 09:00:00,Night,Thursday,Bronx,Airport,33.9,86,Rainy,Bus,48.2,581,3,8,0,LOW
2023-01-05 10:00:00,Morning,Saturday,Staten Island,Industrial,18.0,71,Foggy,Bus,79.6,625,0,3,1,LOW
2023-01-05 11:00:00,Afternoon,Monday,Manhattan,Highway,15.0,94,Stormy,Truck,25.4,2853,2,7,0,MEDIUM
2023-01-05 12:00:00,Night,Thursday,Queens,Suburb,15.1,76,Clear,Motorbike,33.8,727,2,5,0,MEDIUM
2023-01-05 13:00:00,Evening,Tuesday,Queens,Highway,24.5,55,Windy,Bicycle,33.9,971,4,6,1,MEDIUM
2023-01-05 14:00:00,Morning,Sunday,Manhattan,Uptown,15.9,42,Rainy,Bicycle,17.3,821,1,3,0,HIGH
2023-01-05 15:00:00,Afternoon,Saturday,Bronx,Downtown,17.5,40,Clear,Motorbike,41.6,2928,2,6,0,MEDIUM
2023-01-05 16:00:00,Night,Friday,Staten Island,Downtown,28.5,55,Foggy,Motorbike,59.9,3436,4,4,0,HIGH
2023-01-05 17:00:00,Afternoon,Monday,Brooklyn,Uptown,30.2,83,Windy,Bicycle,19.9,4301,1,1,1,HIGH
2023-01-05 18:00:00,Night,Wednesday,Brooklyn,Highway,18.9,94,Stormy,Motorbike,44.6,2046,0,8,0,MEDIUM
2023-01-05 19:00:00,Morning,Sunday,Manhattan,Industrial,28.4,54,Windy,Bus,46.2,3710,0,8,0,HIGH
2023-01-05 20:00:00,Evening,Sunday,Brooklyn,Highway,17.7,70,Windy,Bicycle,44.7,2089,3,8,0,MEDIUM
2023-01-05 21:00:00,Evening,Friday,Manhattan,Market,20.0,42,Clear,Motorbike,68.3,4196,0,7,0,HIGH
2023-01-05 22:00:00,Night,Saturday,Brooklyn,Highway,22.7,44,Foggy,Motorbike,36.9,3201,1,1,0,MEDIUM
2023-01-05 23:00:00,Afternoon,Thursday,Queens,Suburb,30.5,52,Rainy,Car,17.8,2008,3,3,0,MEDIUM
2023-01-06 00:00:00,Evening,Monday,Staten Island,Highway,26.3,48,Foggy,Truck,33.0,1981,0,5,0,MEDIUM
2023-01-06 01:00:00,Afternoon,Saturday,Queens,Industrial,20.8,86,Rainy,Motorbike,17.7,282,1,9,0,HIGH
2023-01-06 02:00:00,Afternoon,Saturday,Staten Island,Downtown,39.6,92,Clear,Motorbike,16.3,4922,4,4,0,HIGH
2023-01-06 03:00:00,Evening,Monday,Queens,Market,29.8,55,Rainy,Bus,18.3,1385,4,9,0,MEDIUM
2023-01-06 04:00:00,Afternoon,Sunday,Brooklyn,Industrial,29.2,38,Clear,Motorbike,38.8,795,0,1,0,MEDIUM
2023-01-06 05:00:00,Afternoon,Monday,Queens,Suburb,28.5,94,Windy,Car,59.0,4542,4,2,0,HIGH
2023-01-06 06:00:00,Night,Tuesday,Staten Island,Market,24.6,30,Cloudy,Bus,15.7,4216,0,6,0,HIGH
2023-01-06 07:00:00,Evening,Tuesday,Bronx,Industrial,26.0,46,Stormy,Bus,63.8,236,3,2,1,LOW
2023-01-06 08:00:00,Afternoon,Thursday,Brooklyn,Market,20.8,57,Clear,Bus,48.0,1236,0,7,0,MEDIUM
2023-01-06 09:00:00,Morning,Saturday,Queens,Uptown,27.8,63,Cloudy,Bicycle,76.6,3081,3,7,0,HIGH
2023-01-06 10:00:00,Evening,Thursday,Staten Island,Industrial,31.0,49,Clear,Truck,61.3,2775,2,2,0,MEDIUM
